Unemployment	B	Unemployment	http://en.wikipedia.org/wiki/Unemployment	
rocket	B	rocket	http://en.wikipedia.org/wiki/Rocket	
’				
.				
				
The				
representatives				
of				
the				
20				
member				
countries	B	countries	http://en.wikipedia.org/wiki/Country	
of				
the				
European	B	European_Space_Agency	http://en.wikipedia.org/wiki/European_Space_Agency	European_Space_Agency
Space	I	European_Space_Agency	http://en.wikipedia.org/wiki/European_Space_Agency	European_Space_Agency
Agency	I	European_Space_Agency	http://en.wikipedia.org/wiki/European_Space_Agency	European_Space_Agency
have				
reached				
an				
agreement	B	agreement	http://en.wikipedia.org/wiki/Pact	
on				
the				
building				
of				
a				
new				
rocket	B	rocket	http://en.wikipedia.org/wiki/Rocket	
—				
Ariane	B	Ariane_6	http://en.wikipedia.org/wiki/Ariane_6	Ariane_(disambiguation)
6	I	Ariane_6	http://en.wikipedia.org/wiki/Ariane_6	
—				
after				
the				
union				
of				
Germany	B	Germany	http://en.wikipedia.org/wiki/Germany	Germany_(disambiguation)
in				
Luxembourg	B	Luxembourg	http://en.wikipedia.org/wiki/Luxembourg	Luxembourg_(disambiguation)
on				
2	B	2_December	http://en.wikipedia.org/wiki/December_2	
December	I	2_December	http://en.wikipedia.org/wiki/December_2	
,				
achieving				
“				
a				
progressive				
evolution	B	evolution	http://en.wikipedia.org/wiki/Evolution_(term)	
of				
Ariane	B	Ariane_5	http://en.wikipedia.org/wiki/Ariane_5	
5	I	Ariane_5	http://en.wikipedia.org/wiki/Ariane_5	
”				
,				
writes				
Le	B	Le_Monde	http://en.wikipedia.org/wiki/Le_Monde	Le_Monde_(disambiguation)
Monde	I	Le_Monde	http://en.wikipedia.org/wiki/Le_Monde	Le_Monde_(disambiguation)
.				
				
The				
French	B	French	http://en.wikipedia.org/wiki/France	French_(disambiguation)
daily	B	daily	http://en.wikipedia.org/wiki/Newspaper	
points				
out				
that				
the				
programme				
was				
“				
put				
into				
orbit	B	orbit	http://en.wikipedia.org/wiki/Orbit	
”				
19				
years	B	years	http://en.wikipedia.org/wiki/Year	
after				
the				
Ariane	B	Ariane_5	http://en.wikipedia.org/wiki/Ariane_5	
5	I	Ariane_5	http://en.wikipedia.org/wiki/Ariane_5	
programme				
was				
launched				
in				
Rome	B	Rome	http://en.wikipedia.org/wiki/Rome	Rome_(disambiguation)
.				
				
According				
to				
Le	B	Le_Monde	http://en.wikipedia.org/wiki/Le_Monde	Le_Monde_(disambiguation)
Monde	I	Le_Monde	http://en.wikipedia.org/wiki/Le_Monde	Le_Monde_(disambiguation)
,				
Europeans	B	Europeans	http://en.wikipedia.org/wiki/Europe	Europeans_(disambiguation)
have				
to				
react				
swiftly				
if				
they				
don				
’				
t				
want				
to				
“				
lose				
their				
advantage				
on				
the				
market	B	market	http://en.wikipedia.org/wiki/Market_(economics)	
”				
.				
				
What				
’				
s				
ahead				
for				
Donald	B	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	
Tusk	I	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	
.				
				
As				
Donald	B	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	
Tusk	I	Donald_Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	
starts				
his				
first				
term	B	term	http://en.wikipedia.org/wiki/Term_of_office	
as				
the				
president	B	president_of_the_European_Council	http://en.wikipedia.org/wiki/President_of_the_European_Council	
of	I	president_of_the_European_Council	http://en.wikipedia.org/wiki/President_of_the_European_Council	
the	I	president_of_the_European_Council	http://en.wikipedia.org/wiki/President_of_the_European_Council	
European	I	president_of_the_European_Council	http://en.wikipedia.org/wiki/President_of_the_European_Council	European_Council
Council	I	president_of_the_European_Council	http://en.wikipedia.org/wiki/President_of_the_European_Council	European_Council
,				
Gazeta	B	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	Gazeta_Wyborcza
Wyborcza	I	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	Gazeta_Wyborcza
singles				
out				
the				
most				
important				
challenges				
laying				
ahead				
of				
the				
former				
Polish	B	Polish_prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_Poland	Poland
prime	I	Polish_prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_Poland	
minister	I	Polish_prime_minister	http://en.wikipedia.org/wiki/Prime_Minister_of_Poland	
.				
				
Now				
the				
most				
important				
task				
for				
the				
Union	B	Union	http://en.wikipedia.org/wiki/European_Union	Union_(American_Civil_War)
and				
Tusk	B	Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	Tusk_(album)
alike				
is				
to				
keep				
a				
cohesive				
line	B	line	http://en.wikipedia.org/wiki/Line_(geometry)	
against				
an				
aggressive				
Russia	B	Russia	http://en.wikipedia.org/wiki/Russia	Russia
’				
s				
policy	B	policy	http://en.wikipedia.org/wiki/Politics	
.				
				
[				
…				
]				
Fortunately				
,				
Berlin	B	Berlin	http://en.wikipedia.org/wiki/Berlin	Berlin_(disambiguation)
is				
currently				
opposed				
to				
easing				
sanctions	B	sanctions	http://en.wikipedia.org/wiki/International_sanctions	
on				
Moscow	B	Moscow	http://en.wikipedia.org/wiki/Moscow	Moscow_(disambiguation)
,				
which				
will				
make				
Tusk	B	Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	Tusk_(disambiguation)
’				
s				
work	B	work	http://en.wikipedia.org/wiki/Work_(project_management)	
easier				
.				
				
Another				
key				
issue				
to				
address				
is				
avoiding				
a				
“				
Brexit	B	Brexit	http://en.wikipedia.org/wiki/Brexit	Brexit_(disambiguation)
”				
,				
which				
would				
“				
weaken				
Europe	B	Europe	http://en.wikipedia.org/wiki/Europe	Europe_(disambiguation)
geopolitically	B	geopolitically	http://en.wikipedia.org/wiki/Geopolitics	
and				
,				
in				
the				
long				
term	B	term	http://en.wikipedia.org/wiki/Term_(time)	
,				
also				
economically	B	economically	http://en.wikipedia.org/wiki/Economy	
”				
.				
				
It				
could				
also				
become				
a				
bad				
example				
for				
other				
EU	B	EU_members	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	Eu_(disambiguation)
members	I	EU_members	http://en.wikipedia.org/wiki/Member_state_of_the_European_Union	
and				
lead				
to				
“				
erosion				
of				
the				
achievements				
in				
European	B	European	http://en.wikipedia.org/wiki/Europe	Europe
integration	B	integration	http://en.wikipedia.org/wiki/Integration_clause	
”				
.				
				
Last				
but				
not				
least				
,				
Tusk	B	Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	Tusk_(disambiguation)
will				
have				
to				
secure				
a				
“				
robust				
economic	B	economic_growth	http://en.wikipedia.org/wiki/Economic_growth	
growth	I	economic_growth	http://en.wikipedia.org/wiki/Economic_growth	
to				
reduce				
unemployment	B	unemployment	http://en.wikipedia.org/wiki/Unemployment	
”				
.				
				
At				
the				
next				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	Eu_(disambiguation)
summits	B	summits	http://en.wikipedia.org/wiki/Summit_(meeting)	
,				
he				
will				
also				
have				
to				
defend				
the				
budgetary				
discipline	B	discipline	http://en.wikipedia.org/wiki/Discipline	
stipulated				
in				
the				
treaties	B	treaties	http://en.wikipedia.org/wiki/Treaty	
but				
currently				
undermined				
in				
France	B	France	http://en.wikipedia.org/wiki/France	France_(disambiguation)
and				
Italy	B	Italy	http://en.wikipedia.org/wiki/Italy	Italy_(disambiguation)
,				
which				
argue				
that				
austerity	B	austerity	http://en.wikipedia.org/wiki/Austerity	
measures				
stifle				
economic	B	economic_growth	http://en.wikipedia.org/wiki/Economic_growth	
growth	I	economic_growth	http://en.wikipedia.org/wiki/Economic_growth	
.				
				
As				
Gazeta	B	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	
Wyborcza	I	Gazeta_Wyborcza	http://en.wikipedia.org/wiki/Gazeta_Wyborcza	
points				
out				
,				
if				
Tusk	B	Tusk	http://en.wikipedia.org/wiki/Donald_Tusk	Tusk_(disambiguation)
succeeds				
in				
all				
three				
areas				
—				
he				
might				
become				
,				
just				
like				
Van	B	Van_Rompuy	http://en.wikipedia.org/wiki/Herman_Van_Rompuy	Van_Rompuy_(disambiguation)
Rompuy	I	Van_Rompuy	http://en.wikipedia.org/wiki/Herman_Van_Rompuy	Van_Rompuy_(disambiguation)
,				
a				
midwife				
of				
key				
compromises	B	compromises	http://en.wikipedia.org/wiki/Compromise	
[				
in				
the				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	Eu_(disambiguation)
]				
.				
				
The				
silent				
revolution	B	revolution	http://en.wikipedia.org/wiki/Revolution	
of				
the				
TTIP	B	TTIP	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
.				
				
“				
Organizations	B	Organizations	http://en.wikipedia.org/wiki/Organization	
are				
attacking				
the				
European	B	European_Commission	http://en.wikipedia.org/wiki/European_Commission	European_Commission
Commission	I	European_Commission	http://en.wikipedia.org/wiki/European_Commission	European_Commission
,				
which				
they				
accuse				
of				
stifling				
the				
voices	B	voices	http://en.wikipedia.org/wiki/Human_voice	
,				
and				
protesting				
the				
agreement	B	agreement	http://en.wikipedia.org/wiki/Consensus_decision-making	
with				
the				
United	B	United_States	http://en.wikipedia.org/wiki/United_States	United_States
States	I	United_States	http://en.wikipedia.org/wiki/United_States	United_States
,				
”				
reports				
i	B	i	http://en.wikipedia.org/wiki/I_(newspaper)	
.				
				
The				
Transatlantic	B	Transatlantic_Trade_and_Investment_Partnership	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
Trade	I	Transatlantic_Trade_and_Investment_Partnership	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
and	I	Transatlantic_Trade_and_Investment_Partnership	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
Investment	I	Transatlantic_Trade_and_Investment_Partnership	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
Partnership	I	Transatlantic_Trade_and_Investment_Partnership	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
(				
TTIP	B	TTIP	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
in				
English	B	English	http://en.wikipedia.org/wiki/English_language	England
)				
is				
a				
commercial	B	commercial	http://en.wikipedia.org/wiki/Commerce	
agreement	B	agreement	http://en.wikipedia.org/wiki/Pact	
under				
negotiation	B	negotiation	http://en.wikipedia.org/wiki/Negotiation	
between				
the				
EU	B	EU	http://en.wikipedia.org/wiki/European_Union	European_Union
and				
the				
US	B	US	http://en.wikipedia.org/wiki/United_States	United_States
would				
“				
harmonise				
laws	B	laws	http://en.wikipedia.org/wiki/Law	
on				
both				
sides				
of				
the				
Atlantic	B	Atlantic_ocean	http://en.wikipedia.org/wiki/Atlantic_Ocean	Atlantic_Ocean
ocean	I	Atlantic_ocean	http://en.wikipedia.org/wiki/Atlantic_Ocean	
to				
allow				
major				
European	B	European	http://en.wikipedia.org/wiki/Europe	Europe
and				
American	B	American	http://en.wikipedia.org/wiki/United_States	United_States
companies	B	companies	http://en.wikipedia.org/wiki/Company	
to				
invest				
and				
increase				
their				
profits	B	profits	http://en.wikipedia.org/wiki/Profit_(economics)	
on				
a				
larger				
market	B	market	http://en.wikipedia.org/wiki/Market_(economics)	
”				
,				
writes				
the				
paper	B	paper	http://en.wikipedia.org/wiki/Paper	
.				
				
Against				
the				
Brussels	B	Brussels	http://en.wikipedia.org/wiki/Brussels	Brussels
blockade	B	blockade	http://en.wikipedia.org/wiki/Blockade	
,				
launched				
a				
petition	B	petition	http://en.wikipedia.org/wiki/Petition	
that				
has				
racked				
up				
more				
than				
850,000				
signatures	B	signatures	http://en.wikipedia.org/wiki/Signature	
against				
TTIP	B	TTIP	http://en.wikipedia.org/wiki/Transatlantic_Trade_and_Investment_Partnership	
in				
less				
than				
a				
month	B	month	http://en.wikipedia.org/wiki/Month	
.				
				
